scene,trajectory_id,split,entry_region,exit_region,od_pair,supported_at_selected_threshold,recording_id,start_x_topview,start_y_topview,end_x_topview,end_y_topview,source_recording_id,start_x,start_y,end_x,end_y
bellevue_ne8th,bellevue_ne8th:127328,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1210.4145231558805,764.890790510247,1192.9583144892374,310.46626166013885,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1086.1018684156004,259.38835065437075,9.817481329946787,373.3672538988514
bellevue_ne8th,bellevue_ne8th:127348,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1193.1916647921707,760.8652829899368,1182.3442108109934,317.9587941904631,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1112.0987815163346,275.34005015980097,10.639587668216581,392.693596302379
bellevue_ne8th,bellevue_ne8th:127364,target_estimation,3,3,3->3,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1176.8309584981712,758.8679338484063,1061.5677405371027,531.1347420235029,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1142.879447798295,292.08273130474646,842.2663278290712,684.9303923635764
bellevue_ne8th,bellevue_ne8th:127367,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1216.4948613135186,777.3367779473979,1200.7224872420275,304.3439439843461,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1093.8557410037868,252.93525857636405,6.903016058603908,360.50381192294014
bellevue_ne8th,bellevue_ne8th:127417,target_estimation,2,2,2->2,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1154.0956838339112,336.04760871280797,1153.9511151219424,735.4361509587086,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,4.822159698989354,455.3396805271955,1155.7766645951697,323.33997072162015
bellevue_ne8th,bellevue_ne8th:12742,target_estimation,1,3,1->3,True,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,1871.6810569048198,523.5965833904537,1068.7601422160494,504.9609857598136,Bellevue_Bellevue_NE8th__2017-09-10_18-08-23,552.8678816361859,75.64101439967294,701.0069409919499,673.346110026041
bellevue_ne8th,bellevue_ne8th:127479,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1187.773260955118,752.4142676550897,1181.2836717998161,318.14702098697796,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1109.3601765950514,281.824470196348,8.486630994623347,394.94009741580805
bellevue_ne8th,bellevue_ne8th:127504,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1188.5867682450632,755.4022925719555,1181.355643400398,318.0516260852016,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1112.5515173709744,280.57739905155046,8.30319544474283,394.8184212424531
bellevue_ne8th,bellevue_ne8th:127537,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1188.8280182332544,753.4766808349118,1183.240697062838,315.9335986250636,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1108.9641298236263,280.62228328820424,5.045673841418633,391.5117043235081
bellevue_ne8th,bellevue_ne8th:127658,target_estimation,3,0,3->0,True,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1188.748682881904,752.777469786816,1182.0442059766222,317.8983781241553,Bellevue_Bellevue_NE8th__2017-09-10_19-08-24,1107.9935213955962,280.80346365263944,9.580371966506487,393.36964231548836
