scene,endpoint_role,record_type,region_a,region_b,region_size,region_share,reference_center_x,reference_center_y,centroid_x,centroid_y,mean_angle_rad,angular_std_rad,angular_span_rad,mean_radius,median_radius,within_region_mean_spread,within_region_max_spread,pairwise_centroid_distance,pairwise_angular_separation_rad
bellevue_150th_se38th,entry,pairwise,3,6.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,389.9840773380689,1.4290654643409177
bellevue_150th_se38th,entry,pairwise,4,5.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,126.03082285485878,0.6531793984348071
bellevue_150th_se38th,entry,pairwise,4,6.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,214.9187154668463,2.2702145484827163
bellevue_150th_se38th,entry,pairwise,5,6.0,,,922.9090101312843,246.97847678091242,,,,,,,,,,249.60723432275097,2.9233939469175234
bellevue_150th_se38th,exit,region,0,,1194.0,0.48106365834004833,895.7305957054377,697.5755448680936,886.5314175031815,735.6534218565411,1.825406075155076,0.39707447092937137,2.5243197510062343,40.386765880686276,39.85386705835401,20.36740078534303,72.6820356623298,,
bellevue_150th_se38th,exit,region,1,,1066.0,0.42949234488315874,895.7305957054377,697.5755448680936,994.2647284593979,417.55401152143196,-1.1423349875913593,0.32976683950147445,2.0683313847952283,306.12262633401303,330.47585462569043,124.99843301261073,296.80916737460234,,
bellevue_150th_se38th,exit,region,2,,222.0,0.0894439967767929,895.7305957054377,697.5755448680936,814.5914661006043,562.4888486800871,-2.3796131784350063,0.4847783226141409,1.6632845449383145,159.33367453890182,29.8005005242702,181.5237354689468,358.20968161331956,,
bellevue_150th_se38th,exit,pairwise,0,1.0,,,895.7305957054377,697.5755448680936,,,,,,,,,,335.8477350602992,2.9677410627464353
bellevue_150th_se38th,exit,pairwise,0,2.0,,,895.7305957054377,697.5755448680936,,,,,,,,,,187.51353554127402,2.078166053589504
bellevue_150th_se38th,exit,pairwise,1,2.0,,,895.7305957054377,697.5755448680936,,,,,,,,,,230.84321135536516,1.237278190843647
bellevue_ne8th,entry,region,0,,2272.0,0.40746054519368724,1152.7294655286082,576.9141873584132,1062.2160501729861,589.7147560887613,2.995956100859649,0.16491200386656396,1.3315703739337998,92.62841135419062,94.17088757758641,15.784975557504271,59.365619592341055,,
bellevue_ne8th,entry,region,1,,1394.0,0.25,1152.7294655286082,576.9141873584132,1866.5322677387496,539.6909744510067,-0.06648771715832978,0.07256975218713686,0.9741971911413427,715.6493699415132,751.9637875058695,192.36435009576982,666.614717097409,,
bellevue_ne8th,entry,region,2,,1059.0,0.18992109038737445,1152.7294655286082,576.9141873584132,1151.1570907066157,343.72384485976465,-1.5816630914382006,0.060553043045778826,0.36516718694716616,233.58901605116043,238.89031731128546,17.484493410622154,101.35756945437014,,
bellevue_ne8th,entry,region,3,,851.0,0.1526183644189383,1152.7294655286082,576.9141873584132,1206.1805192367276,773.1768944128239,1.3001523696040544,0.11583475866518787,1.5241147283150849,204.51132011912395,201.15248200523138,29.960918374153067,166.51262803757822,,
bellevue_ne8th,entry,pairwise,0,1.0,,,1152.7294655286082,576.9141873584132,,,,,,,,,,805.8703100180813,3.0624438180179787
bellevue_ne8th,entry,pairwise,0,2.0,,,1152.7294655286082,576.9141873584132,,,,,,,,,,261.5760636955852,1.7055661148817363
bellevue_ne8th,entry,pairwise,0,3.0,,,1152.7294655286082,576.9141873584132,,,,,,,,,,233.20404059801893,1.6958037312555947
bellevue_ne8th,entry,pairwise,1,2.0,,,1152.7294655286082,576.9141873584132,,,,,,,,,,741.730921422309,1.5151753742798708
bellevue_ne8th,entry,pairwise,1,3.0,,,1152.7294655286082,576.9141873584132,,,,,,,,,,700.414239268516,1.3666400867623842
bellevue_ne8th,entry,pairwise,2,3.0,,,1152.7294655286082,576.9141873584132,,,,,,,,,,432.96362371177406,2.881815461042255
bellevue_ne8th,exit,region,0,,1293.0,0.23188665710186512,1193.223040730256,635.664333708351,1193.6094617886001,312.9823251946492,-1.5694659519364453,0.03558975613763606,0.48170995535038275,322.86813562657096,325.1708687383319,11.670261734715416,177.82394256602083,,
bellevue_ne8th,exit,region,1,,2116.0,0.3794835007173601,1193.223040730256,635.664333708351,1891.5519106389534,649.1619280560333,0.024081406754534084,0.034318683544971855,0.6913597455665867,698.7087298394148,711.2617837075654,155.79519550855892,633.7591618148525,,
bellevue_ne8th,exit,region,2,,1028.0,0.18436154949784792,1193.223040730256,635.664333708351,1145.4958569615173,726.9551134176265,2.057757747452506,0.1285856096938332,1.1322839295334912,103.842142035609,103.82302069519085,13.096258750416117,74.13602516943438,,
