scene,role,micro_region,n_support,n_finite_bearings,n_finite_headings,centroid_x_topview,centroid_y_topview,role_center_x_topview,role_center_y_topview,bearing,heading,bearing_circular_mad,heading_circular_mad,bearing_radius,heading_radius,self_consistency_quantile,bootstrap_replicates,bootstrap_seed,invalid_bearing_descriptor,invalid_heading_descriptor,zero_support_region,variant_id
bellevue_150th_newport,entry,1,591,591,591,1028.52175377,554.990886803518,962.920651244894,310.232310018015,1.30892741170547,-1.83895342420193,0.00515058209513963,0.100327625095695,0.224739109452817,0.944876561422159,0.95,500,157452374,False,False,False,A6
bellevue_150th_newport,entry,2,507,507,507,857.958588944063,520.695436829307,962.920651244894,310.232310018015,2.03341899950301,-0.267730866471203,0.0496924288093346,0.614123608221073,1.00996795214331,2.82510752523441,0.95,500,1394216134,False,False,False,A6
bellevue_150th_newport,entry,3,127,127,127,1157.73312406815,371.654722825769,962.920651244894,310.232310018015,0.305424570070566,2.57895591172517,0.105646352636247,0.721219680930073,0.24674553368437,2.91904302206315,0.95,500,282533730,False,False,False,A6
bellevue_150th_newport,exit,0,421,421,421,832.220676064799,518.074501366722,951.355131565398,520.843690581895,-3.11835260402302,2.4759068807407,0.0267832657283975,0.176400057117979,0.110474975489408,1.39314139021421,0.95,500,2109674235,False,False,False,A6
bellevue_150th_newport,exit,1,737,737,737,1010.96167878725,225.839932800871,951.355131565398,520.843690581895,-1.3714270119681,-2.56242705973113,0.027281721033122,0.410275147979741,0.10138718722716,2.35254107104136,0.95,500,592350035,False,False,False,A6
bellevue_150th_newport,exit,2,1116,1116,1116,949.974075472092,557.391437159528,951.355131565398,520.843690581895,1.60856607850344,1.67579501222331,0.0509580698977976,0.0489151103603001,0.175474139621783,0.213925587676274,0.95,500,1058518855,False,False,False,A6
bellevue_150th_newport,exit,3,149,149,149,1153.65770940536,398.309084680577,951.355131565398,520.843690581895,-0.544599902388466,-1.42471143079452,0.00899595452574298,0.334564586858364,0.0624011597785451,1.63150554602329,0.95,500,514600795,False,False,False,A6
bellevue_150th_newport,entry,0,1198,1198,1198,961.417684272094,249.016472173002,962.920651244894,310.232310018015,-1.59534332541616,1.99971578152765,0.0586471081665976,0.374857861818586,0.605856014887931,2.36905753195022,0.95,500,55455083,False,False,False,A7
bellevue_150th_newport,entry,1,591,591,591,1028.52175377,554.990886803518,962.920651244894,310.232310018015,1.30892741170547,-1.83895342420193,0.00515058209513963,0.100327625095695,0.224739109452817,0.944876561422159,0.95,500,157452374,False,False,False,A7
bellevue_150th_newport,entry,2,507,507,507,857.958588944063,520.695436829307,962.920651244894,310.232310018015,2.03341899950301,-0.267730866471203,0.0496924288093346,0.614123608221073,1.00996795214331,2.82510752523441,0.95,500,1394216134,False,False,False,A7
bellevue_150th_newport,entry,3,127,127,127,1157.73312406815,371.654722825769,962.920651244894,310.232310018015,0.305424570070566,2.57895591172517,0.105646352636247,0.721219680930073,0.24674553368437,2.91904302206315,0.95,500,282533730,False,False,False,A7
bellevue_150th_newport,exit,0,421,421,421,832.220676064799,518.074501366722,951.355131565398,520.843690581895,-3.11835260402302,2.4759068807407,0.0267832657283975,0.176400057117979,0.110474975489408,1.39314139021421,0.95,500,2109674235,False,False,False,A7
bellevue_150th_newport,exit,1,737,737,737,1010.96167878725,225.839932800871,951.355131565398,520.843690581895,-1.3714270119681,-2.56242705973113,0.027281721033122,0.410275147979741,0.10138718722716,2.35254107104136,0.95,500,592350035,False,False,False,A7
bellevue_150th_newport,exit,2,1116,1116,1116,949.974075472092,557.391437159528,951.355131565398,520.843690581895,1.60856607850344,1.67579501222331,0.0509580698977976,0.0489151103603001,0.175474139621783,0.213925587676274,0.95,500,1058518855,False,False,False,A7
bellevue_150th_newport,exit,3,149,149,149,1153.65770940536,398.309084680577,951.355131565398,520.843690581895,-0.544599902388466,-1.42471143079452,0.00899595452574298,0.334564586858364,0.0624011597785451,1.63150554602329,0.95,500,514600795,False,False,False,A7
bellevue_150th_newport,entry,0,1198,1198,1198,961.417684272094,249.016472173002,962.920651244894,310.232310018015,-1.59534332541616,1.66602981353194,0.0586471081665976,0.122531279200468,0.605856014887931,2.90374692813128,0.95,500,55455083,False,False,False,A9
bellevue_150th_newport,entry,1,591,591,591,1028.52175377,554.990886803518,962.920651244894,310.232310018015,1.30892741170547,-1.08244319413401,0.00515058209513963,0.109129477041061,0.224739109452817,1.50604741122292,0.95,500,157452374,False,False,False,A9
bellevue_150th_newport,entry,2,507,507,507,857.958588944063,520.695436829307,962.920651244894,310.232310018015,2.03341899950301,-0.270770097410485,0.0496924288093346,1.39767145274014,1.00996795214331,2.44244955650009,0.95,500,1394216134,False,False,False,A9
bellevue_150th_newport,entry,3,127,127,127,1157.73312406815,371.654722825769,962.920651244894,310.232310018015,0.305424570070566,2.52153070451443,0.105646352636247,0.370236907676163,0.24674553368437,3.02838995224795,0.95,500,282533730,False,False,False,A9
bellevue_150th_newport,exit,0,421,421,421,832.220676064799,518.074501366722,951.355131565398,520.843690581895,-3.11835260402302,1.55984107795774,0.0267832657283975,0.446000655143075,0.110474975489408,1.97007908591558,0.95,500,2109674235,False,False,False,A9
bellevue_150th_newport,exit,1,737,737,737,1010.96167878725,225.839932800871,951.355131565398,520.843690581895,-1.3714270119681,-1.78969929927103,0.027281721033122,0.231094243437208,0.10138718722716,2.73742075524491,0.95,500,592350035,False,False,False,A9
bellevue_150th_newport,exit,2,1116,1116,1116,949.974075472092,557.391437159528,951.355131565398,520.843690581895,1.60856607850344,1.40045039288963,0.0509580698977976,0.0706234101472638,0.175474139621783,0.297868442720274,0.95,500,1058518855,False,False,False,A9
bellevue_150th_newport,exit,3,149,149,149,1153.65770940536,398.309084680577,951.355131565398,520.843690581895,-0.544599902388466,-0.844287507478815,0.00899595452574298,0.0787135024899395,0.0624011597785451,2.19406458817915,0.95,500,514600795,False,False,False,A9
bellevue_150th_newport,entry,0,1198,1198,1198,961.417684272094,249.016472173002,962.920651244894,310.232310018015,-1.59534332541616,2.00175467050562,0.0586471081665976,0.481146666046366,0.605856014887931,2.66957065629563,0.95,500,55455083,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,entry,1,591,591,591,1028.52175377,554.990886803518,962.920651244894,310.232310018015,1.30892741170547,-1.80482942085639,0.00515058209513963,0.12349695194505,0.224739109452817,1.29512603126438,0.95,500,157452374,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,entry,2,507,507,507,857.958588944063,520.695436829307,962.920651244894,310.232310018015,2.03341899950301,-0.185643351375854,0.0496924288093346,0.769300503084957,1.00996795214331,2.86972481402624,0.95,500,1394216134,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,entry,3,127,127,127,1157.73312406815,371.654722825769,962.920651244894,310.232310018015,0.305424570070566,2.56166937187107,0.105646352636247,0.763422548829698,0.24674553368437,2.8844185293953,0.95,500,282533730,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,exit,0,421,421,421,832.220676064799,518.074501366722,951.355131565398,520.843690581895,-3.11835260402302,2.47201382409532,0.0267832657283975,0.211901833707709,0.110474975489408,2.30673950108278,0.95,500,2109674235,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,exit,1,737,737,737,1010.96167878725,225.839932800871,951.355131565398,520.843690581895,-1.3714270119681,-2.56458022246253,0.027281721033122,0.523244591224791,0.10138718722716,2.53271664030058,0.95,500,592350035,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,exit,2,1116,1116,1116,949.974075472092,557.391437159528,951.355131565398,520.843690581895,1.60856607850344,1.66037405775114,0.0509580698977976,0.0600415016833953,0.175474139621783,0.283480483444137,0.95,500,1058518855,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,exit,3,149,149,149,1153.65770940536,398.309084680577,951.355131565398,520.843690581895,-0.544599902388466,-1.42823084851743,0.00899595452574298,0.388255344755217,0.0624011597785451,1.77329284198045,0.95,500,514600795,False,False,False,sensitivity_heading_w3
bellevue_150th_newport,entry,0,1198,1198,1198,961.417684272094,249.016472173002,962.920651244894,310.232310018015,-1.59534332541616,2.00122241584096,0.0586471081665976,0.299468709725372,0.605856014887931,2.19736820431343,0.95,500,55455083,False,False,False,sensitivity_heading_w7
