scene,variant_id,role,supernode_id,member_micro_regions,n_micro_regions,n_support,bearing,heading,contains_invalid_descriptor
bellevue_150th_eastgate,sensitivity_heading_w7,entry,entry:S03,3,1,598,2.79944950968421,0.562073235380977,False
bellevue_150th_eastgate,sensitivity_heading_w7,exit,exit:S00,2,1,3421,-1.58877012042934,-1.44092311895796,False
bellevue_150th_eastgate,sensitivity_heading_w7,exit,exit:S01,3,1,434,0.0193790042359581,0.885515836803386,False
bellevue_150th_eastgate,sensitivity_heading_w7,exit,exit:S02,0,1,3011,1.0737763339524,2.07580946602912,False
bellevue_150th_eastgate,sensitivity_heading_w7,exit,exit:S03,1,1,1854,3.11867412852411,-3.12689454053818,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,entry:S00,1,1,2170,-2.63754347725791,2.55994480625311,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,entry:S01,2,1,2750,-0.133914685463751,-2.3732881932595,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,entry:S02,0,1,3202,1.56955973900181,-0.821413290981334,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,entry,entry:S03,3,1,598,2.79944950968421,0.498352009057768,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,exit:S00,2,1,3421,-1.58877012042934,-1.44112585084454,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,exit:S01,3,1,434,0.0193790042359581,0.904034111584004,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,exit:S02,0,1,3011,1.0737763339524,2.06403083132268,False
bellevue_150th_eastgate,sensitivity_self_consistency_q090,exit,exit:S03,1,1,1854,3.11867412852411,-3.1362699853088,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,entry:S00,1,1,2170,-2.63754347725791,2.55994480625311,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,entry:S01,2,1,2750,-0.133914685463751,-2.3732881932595,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,entry:S02,0,1,3202,1.56955973900181,-0.821413290981334,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,entry,entry:S03,3,1,598,2.79944950968421,0.498352009057768,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,exit:S00,2,1,3421,-1.58877012042934,-1.44112585084454,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,exit:S01,3,1,434,0.0193790042359581,0.904034111584004,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,exit:S02,0,1,3011,1.0737763339524,2.06403083132268,False
bellevue_150th_eastgate,sensitivity_self_consistency_q0975,exit,exit:S03,1,1,1854,3.11867412852411,-3.1362699853088,False
bellevue_150th_se38th,A5,entry,entry:S00,0,1,778,-2.37866545384355,-2.74436106999682,False
bellevue_150th_se38th,A5,entry,entry:S01,2,1,369,-1.4366680268086,-2.87461081358183,False
bellevue_150th_se38th,A5,entry,entry:S02,6,1,184,0.0793969655772577,-3.01592990259868,False
bellevue_150th_se38th,A5,entry,entry:S03,1;3,2,846,1.03330739149219,-1.18368887193517,False
bellevue_150th_se38th,A5,entry,entry:S04,4;5,2,305,2.40859200175555,-3.05688896439837,False
bellevue_150th_se38th,A5,exit,exit:S00,1;2,2,1288,-2.0605317200808,-2.75819897516118,False
bellevue_150th_se38th,A5,exit,exit:S01,0,1,1194,1.84353165694985,-2.78592178072586,False
bellevue_150th_se38th,A6,entry,entry:S00,0,1,778,-2.37866545384355,-2.74436106999682,False
bellevue_150th_se38th,A6,entry,entry:S01,2,1,369,-1.4366680268086,-2.87461081358183,False
bellevue_150th_se38th,A6,entry,entry:S02,6,1,184,0.0793969655772577,-3.01592990259868,False
bellevue_150th_se38th,A6,entry,entry:S03,1;3,2,846,1.03330739149219,-1.18368887193517,False
bellevue_150th_se38th,A6,entry,entry:S04,4;5,2,305,2.40859200175555,-3.05688896439837,False
bellevue_150th_se38th,A6,exit,exit:S00,1;2,2,1288,-2.0605317200808,-2.75819897516118,False
bellevue_150th_se38th,A6,exit,exit:S01,0,1,1194,1.84353165694985,-2.78592178072586,False
bellevue_150th_se38th,A7,entry,entry:S00,0;1;2;3;4;5;6,7,2482,2.40859200175555,-3.01592990259868,False
bellevue_150th_se38th,A7,exit,exit:S00,0;1;2,3,2482,-2.0605317200808,-2.75819897516118,False
bellevue_150th_se38th,A9,entry,entry:S00,0,1,778,-2.37866545384355,2.18326476673211,False
bellevue_150th_se38th,A9,entry,entry:S01,2,1,369,-1.4366680268086,1.78798836809048,False
bellevue_150th_se38th,A9,entry,entry:S02,6,1,184,0.0793969655772577,1.46407449088571,False
bellevue_150th_se38th,A9,entry,entry:S03,1;3,2,846,1.03330739149219,-1.22647228889288,False
bellevue_150th_se38th,A9,entry,entry:S04,4;5,2,305,2.40859200175555,0.571635723485583,False
bellevue_150th_se38th,A9,exit,exit:S00,1;2,2,1288,-2.0605317200808,-1.64135602014623,False
bellevue_150th_se38th,A9,exit,exit:S01,0,1,1194,1.84353165694985,1.77315360973068,False
bellevue_150th_se38th,sensitivity_heading_w3,entry,entry:S00,0,1,778,-2.37866545384355,-2.75828684312358,False
bellevue_150th_se38th,sensitivity_heading_w3,entry,entry:S01,2,1,369,-1.4366680268086,-2.91611852379091,False
bellevue_150th_se38th,sensitivity_heading_w3,entry,entry:S02,6,1,184,0.0793969655772577,-3.04468878483247,False
bellevue_150th_se38th,sensitivity_heading_w3,entry,entry:S03,1;3,2,846,1.03330739149219,-1.2261821399092,False
bellevue_150th_se38th,sensitivity_heading_w3,entry,entry:S04,4;5,2,305,2.40859200175555,-3.05778150645097,False
bellevue_150th_se38th,sensitivity_heading_w3,exit,exit:S00,1;2,2,1288,-2.0605317200808,-2.75419670911087,False
bellevue_150th_se38th,sensitivity_heading_w3,exit,exit:S01,0,1,1194,1.84353165694985,-2.77255318256108,False
bellevue_150th_se38th,sensitivity_heading_w7,entry,entry:S00,0,1,778,-2.37866545384355,-2.72688463038417,False
bellevue_150th_se38th,sensitivity_heading_w7,entry,entry:S01,2,1,369,-1.4366680268086,-2.83737219464142,False
bellevue_150th_se38th,sensitivity_heading_w7,entry,entry:S02,6,1,184,0.0793969655772577,-3.00069454063453,False
bellevue_150th_se38th,sensitivity_heading_w7,entry,entry:S03,1;3,2,846,1.03330739149219,-1.16493631780583,False
