scene,variant_id,replicate,bootstrap_seed,emd_seed,sampled_trajectory_count,sampled_recording_count,emd_entry_regions,emd_exit_regions,entry_supernodes,exit_supernodes,support_threshold,smg_target,coverage,invalid_replicate,failure_reason
bellevue_116th_ne12th,A5,38,1866598100,1237761647,237,2,4,4,4,4,0.0025,8,1,False,
bellevue_116th_ne12th,A6,38,1866598100,1237761647,237,2,4,4,4,4,0.0025,8,1,False,
bellevue_116th_ne12th,A7,38,1866598100,1237761647,237,2,4,4,3,3,0.0025,7,1,False,
bellevue_116th_ne12th,A9,38,1866598100,1237761647,237,2,4,4,4,4,0.0025,8,1,False,
bellevue_116th_ne12th,A5,39,479847795,741770538,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,39,479847795,741770538,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,39,479847795,741770538,688,4,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,39,479847795,741770538,688,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,40,1895958175,1095687323,1142,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,40,1895958175,1095687323,1142,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,40,1895958175,1095687323,1142,3,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,40,1895958175,1095687323,1142,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,41,1273463706,1625651464,809,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,41,1273463706,1625651464,809,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,41,1273463706,1625651464,809,4,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,41,1273463706,1625651464,809,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,42,1816876388,1815336792,301,3,7,4,6,3,0.001,11,1,False,
bellevue_116th_ne12th,A6,42,1816876388,1815336792,301,3,7,4,6,3,0.001,11,1,False,
bellevue_116th_ne12th,A7,42,1816876388,1815336792,301,3,7,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,42,1816876388,1815336792,301,3,7,4,6,3,0.001,11,1,False,
bellevue_116th_ne12th,A5,43,834518408,1507892589,422,4,7,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,43,834518408,1507892589,422,4,7,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,43,834518408,1507892589,422,4,7,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,43,834518408,1507892589,422,4,7,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,44,849518875,1159629112,790,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,44,849518875,1159629112,790,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,44,849518875,1159629112,790,4,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,44,849518875,1159629112,790,4,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,45,669757991,359473726,1478,2,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,45,669757991,359473726,1478,2,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,45,669757991,359473726,1478,2,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,45,669757991,359473726,1478,2,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,46,92416888,795285289,1411,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,46,92416888,795285289,1411,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,46,92416888,795285289,1411,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,46,92416888,795285289,1411,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,47,1597830737,394702095,1236,2,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,47,1597830737,394702095,1236,2,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,47,1597830737,394702095,1236,2,4,4,2,2,0.0025,4,1,False,
bellevue_116th_ne12th,A9,47,1597830737,394702095,1236,2,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,48,349957152,1842180042,723,5,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,48,349957152,1842180042,723,5,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,48,349957152,1842180042,723,5,4,4,1,1,0.005,1,1,False,
bellevue_116th_ne12th,A9,48,349957152,1842180042,723,5,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,49,1054303741,121950101,291,2,4,4,4,4,0.005,7,1,False,
bellevue_116th_ne12th,A6,49,1054303741,121950101,291,2,4,4,4,4,0.005,7,1,False,
bellevue_116th_ne12th,A7,49,1054303741,121950101,291,2,4,4,3,3,0.005,6,1,False,
bellevue_116th_ne12th,A9,49,1054303741,121950101,291,2,4,4,4,4,0.005,7,1,False,
bellevue_116th_ne12th,A5,50,426292576,603192496,489,3,7,4,6,4,0.0025,12,0.997955010224949,False,
bellevue_116th_ne12th,A6,50,426292576,603192496,489,3,7,4,6,4,0.0025,12,0.997955010224949,False,
bellevue_116th_ne12th,A7,50,426292576,603192496,489,3,7,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,50,426292576,603192496,489,3,7,4,6,4,0.0025,12,0.997955010224949,False,
bellevue_116th_ne12th,A5,51,1875276407,1920501300,1357,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A6,51,1875276407,1920501300,1357,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A7,51,1875276407,1920501300,1357,3,4,4,1,2,0.005,2,1,False,
bellevue_116th_ne12th,A9,51,1875276407,1920501300,1357,3,4,4,4,4,0.001,10,1,False,
bellevue_116th_ne12th,A5,52,1340877526,1214650281,970,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,52,1340877526,1214650281,970,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,52,1340877526,1214650281,970,3,4,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,52,1340877526,1214650281,970,3,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,53,653120863,2133213658,317,2,7,4,7,4,0.001,11,1,False,
bellevue_116th_ne12th,A6,53,653120863,2133213658,317,2,7,4,7,4,0.001,11,1,False,
bellevue_116th_ne12th,A7,53,653120863,2133213658,317,2,7,4,2,2,0.005,4,1,False,
bellevue_116th_ne12th,A9,53,653120863,2133213658,317,2,7,4,7,4,0.001,11,1,False,
bellevue_116th_ne12th,A5,54,105811700,1757361172,291,2,4,4,4,4,0.005,7,1,False,
bellevue_116th_ne12th,A6,54,105811700,1757361172,291,2,4,4,4,4,0.005,7,1,False,
bellevue_116th_ne12th,A7,54,105811700,1757361172,291,2,4,4,3,3,0.005,6,1,False,
bellevue_116th_ne12th,A9,54,105811700,1757361172,291,2,4,4,4,4,0.005,7,1,False,
bellevue_116th_ne12th,A5,55,1971330828,1717148516,602,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A6,55,1971330828,1717148516,602,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A7,55,1971330828,1717148516,602,4,4,4,2,1,0.005,2,1,False,
bellevue_116th_ne12th,A9,55,1971330828,1717148516,602,4,4,4,4,4,0.0025,10,1,False,
bellevue_116th_ne12th,A5,56,465716506,1782394804,1024,4,4,4,4,4,0.0025,10,1,False,
