scene,variant_id,role,left_micro_region,right_micro_region,bearing_separation,heading_separation,combined_bearing_radius,combined_heading_radius,bearing_ratio,heading_ratio,primary_distance,compatible,od_profile_js_distance_diagnostic
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,0,2,2.00173139620625,1.99299989865191,0.510603836788838,1.16664419853726,3.92032188554446,1.70831852689169,3.92032188554446,False,0.752509178355325
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,0,3,1.59342693349065,1.04846521265615,0.284581242297822,2.5916063858014,5.5991987406643,0.404561903536109,5.5991987406643,False,0.953603656461611
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,1,2,1.455599043496,1.33806603030809,0.421143770831402,2.20034273745804,3.45629959247036,0.608117093546026,3.45629959247036,False,0.854811943979586
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,1,3,1.23242793398668,1.90365416556344,0.195121176340386,3.62530492472218,6.31621824499831,0.525101806631982,6.31621824499831,False,0.790141983186268
bellevue_116th_ne12th,sensitivity_self_consistency_q090,entry,2,3,2.68802697748268,3.04146511130806,0.396720612543873,2.27430804429173,6.77561712825148,1.33731449393666,6.77561712825148,False,0.95693943087606
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,0,1,3.12886569723698,2.57717812583212,0.316839782659347,1.87928307884831,9.87522990634357,1.37136238538981,9.87522990634357,False,0.98429192685594
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,0,2,1.46498086849152,1.76411606748922,0.281527300292513,0.959149085789196,5.20369025302119,1.83925115878903,5.20369025302119,False,0.754345479581908
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,0,3,1.61395179190446,0.965399487060342,0.323358939334666,1.6826237676203,4.99120820727974,0.57374649380217,4.99120820727974,False,0.933487303581228
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,1,2,1.66388482874546,1.94189111385825,0.454413062921098,1.91284381758204,3.66161311043642,1.01518539883352,3.66161311043642,False,0.885140498822609
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,1,3,1.54036781803815,1.61177863877178,0.496244701963251,2.63631849941313,3.10404889350783,0.611374778552202,3.10404889350783,False,0.615184239205354
bellevue_116th_ne12th,sensitivity_self_consistency_q090,exit,2,3,3.07893266039597,2.72951555454956,0.460932219596417,1.71618450635402,6.67979483641179,1.59045577235068,6.67979483641179,False,0.918181875091132
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,0,1,2.82585486747733,2.95211937821958,0.61006628594071,4.35352604340386,4.63204561963282,0.678098476680166,4.63204561963282,False,0.977170655732344
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,0,2,2.00173139620625,1.99299989865191,0.906126942981782,4.10036992215746,2.20910702601909,0.486053682103705,2.20910702601909,False,0.752509178355325
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,0,3,1.59342693349065,1.04846521265615,0.897303069167906,4.47046001392417,1.77579570185609,0.234531839987493,1.77579570185609,False,0.953603656461611
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,1,2,1.455599043496,1.33806603030809,0.74930869976791,4.78669414142536,1.94258927454981,0.279538652517632,1.94258927454981,False,0.854811943979586
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,1,3,1.23242793398668,1.90365416556344,0.740484825954034,5.15678423319206,1.66435271971823,0.369155287380537,1.66435271971823,False,0.790141983186268
bellevue_116th_ne12th,sensitivity_self_consistency_q0975,entry,2,3,2.68802697748268,3.04146511130806,1.03654548299511,4.90362811194566,2.59325521318718,0.620247914783503,2.59325521318718,False,0.95693943087606
