weight_id,family,T,O,B,S,D
local_0203,local,0.4,0.1,0.2,0.25,0.05
local_0204,local,0.4,0.1,0.25,0.05,0.2
local_0205,local,0.4,0.1,0.25,0.1,0.15000000000000002
local_0206,local,0.4,0.1,0.25,0.15000000000000002,0.1
local_0207,local,0.4,0.1,0.25,0.2,0.05
local_0208,local,0.4,0.15000000000000002,0.05,0.15000000000000002,0.25
local_0209,local,0.4,0.15000000000000002,0.05,0.2,0.2
local_0210,local,0.4,0.15000000000000002,0.05,0.25,0.15000000000000002
local_0211,local,0.4,0.15000000000000002,0.1,0.1,0.25
local_0212,local,0.4,0.15000000000000002,0.1,0.15000000000000002,0.2
local_0213,local,0.4,0.15000000000000002,0.1,0.2,0.15000000000000002
local_0214,local,0.4,0.15000000000000002,0.1,0.25,0.1
local_0215,local,0.4,0.15000000000000002,0.15000000000000002,0.05,0.25
local_0216,local,0.4,0.15000000000000002,0.15000000000000002,0.1,0.2
local_0217,local,0.4,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002
local_0218,local,0.4,0.15000000000000002,0.15000000000000002,0.2,0.1
local_0219,local,0.4,0.15000000000000002,0.15000000000000002,0.25,0.05
local_0220,local,0.4,0.15000000000000002,0.2,0.05,0.2
local_0221,local,0.4,0.15000000000000002,0.2,0.1,0.15000000000000002
local_0222,local,0.4,0.15000000000000002,0.2,0.15000000000000002,0.1
local_0223,local,0.4,0.15000000000000002,0.2,0.2,0.05
local_0224,local,0.4,0.15000000000000002,0.25,0.05,0.15000000000000002
local_0225,local,0.4,0.15000000000000002,0.25,0.1,0.1
local_0226,local,0.4,0.15000000000000002,0.25,0.15000000000000002,0.05
local_0227,local,0.4,0.2,0.05,0.1,0.25
local_0228,local,0.4,0.2,0.05,0.15000000000000002,0.2
local_0229,local,0.4,0.2,0.05,0.2,0.15000000000000002
local_0230,local,0.4,0.2,0.05,0.25,0.1
local_0231,local,0.4,0.2,0.1,0.05,0.25
local_0232,local,0.4,0.2,0.1,0.1,0.2
local_0233,local,0.4,0.2,0.1,0.15000000000000002,0.15000000000000002
local_0234,local,0.4,0.2,0.1,0.2,0.1
local_0235,local,0.4,0.2,0.1,0.25,0.05
local_0236,local,0.4,0.2,0.15000000000000002,0.05,0.2
local_0237,local,0.4,0.2,0.15000000000000002,0.1,0.15000000000000002
local_0238,local,0.4,0.2,0.15000000000000002,0.15000000000000002,0.1
local_0239,local,0.4,0.2,0.15000000000000002,0.2,0.05
local_0240,local,0.4,0.2,0.2,0.05,0.15000000000000002
local_0241,local,0.4,0.2,0.2,0.1,0.1
local_0242,local,0.4,0.2,0.2,0.15000000000000002,0.05
local_0243,local,0.4,0.2,0.25,0.05,0.1
local_0244,local,0.4,0.2,0.25,0.1,0.05
local_0245,local,0.4,0.25,0.05,0.05,0.25
local_0246,local,0.4,0.25,0.05,0.1,0.2
local_0247,local,0.4,0.25,0.05,0.15000000000000002,0.15000000000000002
local_0248,local,0.4,0.25,0.05,0.2,0.1
local_0249,local,0.4,0.25,0.05,0.25,0.05
local_0250,local,0.4,0.25,0.1,0.05,0.2
local_0251,local,0.4,0.25,0.1,0.1,0.15000000000000002
local_0252,local,0.4,0.25,0.1,0.15000000000000002,0.1
local_0253,local,0.4,0.25,0.1,0.2,0.05
local_0254,local,0.4,0.25,0.15000000000000002,0.05,0.15000000000000002
local_0255,local,0.4,0.25,0.15000000000000002,0.1,0.1
local_0256,local,0.4,0.25,0.15000000000000002,0.15000000000000002,0.05
local_0257,local,0.4,0.25,0.2,0.05,0.1
local_0258,local,0.4,0.25,0.2,0.1,0.05
local_0259,local,0.4,0.25,0.25,0.05,0.05
local_0260,local,0.4,0.30000000000000004,0.05,0.05,0.2
local_0261,local,0.4,0.30000000000000004,0.05,0.1,0.15000000000000002
local_0262,local,0.4,0.30000000000000004,0.05,0.15000000000000002,0.1
local_0263,local,0.4,0.30000000000000004,0.05,0.2,0.05
local_0264,local,0.4,0.30000000000000004,0.1,0.05,0.15000000000000002
local_0265,local,0.4,0.30000000000000004,0.1,0.1,0.1
local_0266,local,0.4,0.30000000000000004,0.1,0.15000000000000002,0.05
local_0267,local,0.4,0.30000000000000004,0.15000000000000002,0.05,0.1
local_0268,local,0.4,0.30000000000000004,0.15000000000000002,0.1,0.05
local_0269,local,0.4,0.30000000000000004,0.2,0.05,0.05
local_0270,local,0.4,0.35000000000000003,0.05,0.05,0.15000000000000002
local_0271,local,0.4,0.35000000000000003,0.05,0.1,0.1
local_0272,local,0.4,0.35000000000000003,0.05,0.15000000000000002,0.05
local_0273,local,0.4,0.35000000000000003,0.1,0.05,0.1
