source,source_row,scene,method,selection_strategy,trial_index,expected_target,cluster_count_error,pct_outliers,largest_cluster_ratio,silhouette_clustered_only,davies_bouldin_clustered_only,T,O,B,S,D,stored_EMAS_HG,recomputed_EMAS_HG,absolute_difference,tolerance,within_tolerance
development_candidates,186,bellevue_150th_se38th,hdbscan,,5.0,18,15,12.670157068062828,0.3685051958433253,0.8310998915939941,0.1876997622639973,0.16666666666666663,0.8732984293193717,0.6314948041566747,0.9155499457969971,0.8419636273175609,0.4968938569243309,0.49689385692433097,5.551115123125783e-17,1e-12,True
development_candidates,187,bellevue_150th_se38th,hdbscan,,6.0,18,15,13.647469458987784,0.3698464025869038,0.8446770227337581,0.175829034179734,0.16666666666666663,0.8635253054101222,0.6301535974130962,0.922338511366879,0.8504637757117527,0.4963339828645305,0.49633398286453057,5.551115123125783e-17,1e-12,True
development_candidates,188,bellevue_150th_se38th,optics,,1.0,18,10,52.4607329842932,0.3972099853157121,0.3727598075147803,0.7911395053012473,0.4444444444444444,0.475392670157068,0.602790014684288,0.6863799037573901,0.5583038043883759,0.5020481285366413,0.5020481285366412,1.1102230246251565e-16,1e-12,True
development_candidates,189,bellevue_150th_se38th,optics,,2.0,18,11,38.39441535776614,0.4305949008498583,0.8485181893461409,0.4040431284086531,0.38888888888888884,0.6160558464223386,0.5694050991501417,0.9242590946730704,0.7122288338346152,0.5382449164946949,0.538244916494695,1.1102230246251565e-16,1e-12,True
development_candidates,190,bellevue_150th_se38th,optics,,3.0,18,9,32.80977312390925,0.4015584415584415,0.8522403837025341,0.3403940505144742,0.5,0.6719022687609075,0.5984415584415586,0.926120191851267,0.7460492678374518,0.6114415555652093,0.6114415555652093,0.0,1e-12,True
development_candidates,191,bellevue_150th_se38th,optics,,4.0,18,6,23.909249563699827,0.3610091743119266,0.841277102458385,0.3085153259582977,0.6666666666666667,0.7609075043630017,0.6389908256880734,0.9206385512291926,0.7642249044868045,0.7179002623463407,0.7179002623463407,0.0,1e-12,True
development_candidates,192,bellevue_150th_se38th,optics,,5.0,18,11,56.090750436300176,0.4300476947535771,0.3574589685406186,0.7997569639969272,0.38888888888888884,0.43909249563699826,0.5699523052464228,0.6787294842703093,0.5556305767969832,0.4626941802032156,0.4626941802032156,0.0,1e-12,True
development_candidates,193,bellevue_150th_se38th,optics,,6.0,18,14,48.44677137870856,0.5145565335138795,0.9190292227572834,0.0828193465360603,0.2222222222222222,0.5155322862129144,0.48544346648612047,0.9595146113786417,0.9235150842095688,0.4510648845611271,0.45106488456112714,5.551115123125783e-17,1e-12,True
development_candidates,194,bellevue_150th_se38th,optics,,7.0,18,12,37.41710296684119,0.4311210262130507,0.895255206935224,0.110063987612765,0.33333333333333337,0.625828970331588,0.5688789737869493,0.947627603467612,0.9008489701125593,0.5335680154696963,0.5335680154696965,1.1102230246251565e-16,1e-12,True
development_candidates,195,bellevue_150th_se38th,optics,,8.0,18,9,27.5043630017452,0.3789118921521425,0.8707013094559957,0.1513885881143252,0.5,0.724956369982548,0.6210881078478575,0.9353506547279978,0.8685165115608274,0.6374868014101779,0.6374868014101779,0.0,1e-12,True
development_candidates,196,bellevue_150th_se38th,optics,,9.0,18,15,84.57242582897034,0.3846153846153846,0.6786255261951276,0.4174594536059657,0.16666666666666663,0.15427574171029657,0.6153846153846154,0.8393127630975639,0.7054875520114781,0.3302069747247583,0.33020697472475835,5.551115123125783e-17,1e-12,True
development_candidates,197,bellevue_150th_se38th,optics,,10.0,18,15,33.22862129144852,0.3904861474124412,0.931674299852372,0.0974241415907273,0.16666666666666663,0.6677137870855148,0.6095138525875587,0.965837149926186,0.9112247144030292,0.4655336624421136,0.46553366244211364,5.551115123125783e-17,1e-12,True
development_candidates,198,bellevue_150th_se38th,optics,,11.0,18,15,28.411867364746943,0.3768893222818137,0.9248175126823294,0.1057961101983706,0.16666666666666663,0.7158813263525305,0.6231106777181863,0.9624087563411647,0.9043258434148482,0.4754941263512593,0.47549412635125937,5.551115123125783e-17,1e-12,True
development_candidates,199,bellevue_150th_se38th,optics,,12.0,18,12,17.62652705061082,0.3334745762711864,0.889919460899985,0.1558911113871985,0.33333333333333337,0.8237347294938918,0.6665254237288136,0.9449597304499925,0.8651333937501156,0.5790754673583373,0.5790754673583373,0.0,1e-12,True
